Бренд/вкус,Линейка,класс,Животный белок,Источник жиров,Источник углеводов,доп.компоненты,белки %,жиры %,клетчатка %,зола %,кальций %,фосфор %,коэф-т к/ф,натрий %,магний %,Омега-3,Омега-6,влажность %,углеводы %,калорийность,размер гранул,витаминная добавка,консер-т антиокс-д,примечания
ГОСТ,,,,,,,>25,>9,,,">0,4",,1к1-2к1,,,,,,,,,,,
Бренд/направление,Линейка/вкус,класс,Животный белок,Источник жиров,Источник углеводов,доп.компоненты,белки %,жиры %,клетчатка %,зола %,кальций %,фосфор %,коэф-т к/ф,натрий %,магний %,Омега-3,Омега-6,влажность %,углеводы %,калорийность,размер гранул,витаминная добавка,консер-т антиокс-д,примечания
Landor,"Hair skin adult, с индейкой и лососем",супер-премиум,"Дегидрированное мясо 32% (курицы 18%, индейки 14%), гидролизованное мясо лосося 6%, протеин гороховый, гидролизованные мясные белки","жир птицы, семена льна, масло лосося 0,6%","рис, ячмень","глюкозамин, хондроитин",30,18,3,7,"1,4-1,5","1,0-1,2",,,,"0,4","2,7",8,34,4180,,,"розмарин, Биопромис Фито АВ3",
Landor,"Sterilised adult, с индейкой и уткой",супер-премиум,"Дегидрированное мясо 35% (курицы 20%, индейки 15%), гидролизованное мясо утки 4%, протеин гороховый, гидролизованные мясные белки","жир птицы, семена льна, масло лосося 0,6%","рис, ячмень","глюкозамин, хондроитин",32,12,"3,5",7,"1,0-1,2","0,8-0,9",,,,"0,2","2,2",8,"37,5",3860,,,"розмарин, Биопромис Фито АВ4",
Landor,"Sensitive adult, с индейкой и уткой",супер-премиум,"Дегидрированное мясо 35% (курицы 20%, индейки 15%), гидролизованное мясо утки 4%, протеин гороховый, гидролизованные мясные белки","жир птицы, семена льна, масло лосося 0,6%","рис, ячмень","глюкозамин, хондроитин",32,15,2,"7,7","1,4-1,5","1-1,2",,,,"0,3","2,4",8,"35,3",4042,,,"лабазник вязолистный, розмарин",
Landor,"Adult fish with rice, рыба с рисом",супер-премиум,"Дегидрированная рыба (лосось, тунец, сельдь, треска),  дегидрированное мясо утки","утиный жир, лососевое масло","рис, горох",,32,12,"2,5",7,"1,8","1,2","1,5",,,,,10,"36,5",3835,9,,розмарин,
Landor,"Grain free turkey and potato, индейка с бататом",супер-премиум,Дегидрированное мясо индейки,"утиный жир, лососевое масло","сладкий картофель, горох","глюкозамин, хондроитин",31,15,"2,5",8,"2,1","1,7","1,235294118",,,,,10,"33,5",3970,9,,розмарин,
Landor,"Grain free for cats hairball and weight control, ягненок с бататом",супер-премиум,"Дегидрированное мясо ягненка, гороховый белок, дегидрированные яйца","утиный жир, лососевое масло",сладкий картофель,"глюкозамин, хондроитин",30,11,"4,5","9,5","2,4","1,9","1,263157895",,,,,10,35,4015,9,,розмарин,
Landor,"sterilized rabbit and rice, кролик с рисом",супер-премиум,"Дегидрированное мясо кролика, гороховый белок","утиный жир, лососевое масло","рис, сушеные овощи, ячмень","глюкозамин, хондроитин",30,11,"3,5","7,2","2,1","1,7","1,235294118",,,,,10,"38,3",3610,,,розмарин,
Landor,"sterilized light, утка с рисом",супер-премиум,"Дегидрированное мясо утки, гороховый белок","утиный жир, лососевое масло","рис, овес, ячмень, рисовые отруби","глюкозамин, хондроитин",31,12,"3,5",7,"1,7","1,3","1,307692308",,,,,10,"36,5",4130,11,,розмарин,
Landor,"Sensitive cat, ягненок с рисом",супер-премиум,"Дегидрированное мясо ягненка, гороховый белок, тунец","утиный жир, лососевое масло","рис, сушеные овощи","глюкозамин, хондроитин",29,15,"3,5","8,6","1,9","1,4","1,357142857",,,,,10,"33,9",4130,9,,розмарин,
Landor,"Indoor cat, утка с рисом ",супер-премиум,"Дегидрированное мясо утки, гороховый белок, тунец","утиный жир, лососевое масло","рис, сушеные овощи",,31,14,"2,5","7,3","1,8","1,3","1,384615385",,,,,10,"35,2",4165,11,,розмарин,
Grand Cat,на основе индейки и курицы,супер-премиум,"Индейка 23%, курица 10%, сухой белок индейки","животный жир, рыбий жир","цельная пшеница 10%, рис 9%",,34,13,6,"7,5","1,2",,,,,,2,,"39,5",,,"стандартная, дозировки по витаминам хорошие, по микроэлементам средние",,
Grand Cat,с говядиной для взрослых кошек,супер-премиум,"Говядина 30%, мука из мяса курицы","рыбий жир, семя льна","цельная пшеница 10%, рис 6%",,30,14,"2,5","7,5","1,2",,,,,,2,,46,,,,,
Grand Cat,с мясом страуса,супер-премиум,"Мясо страуса 15%, мясо индейки 30%, печень индейки 10%, сушеные хрящи ягненка 1,5%",рыбий жир,"рис 10%, пшеница 10%",,32,13,3,"7,6","1,7","1,6","1,0625",,,,,,"44,4",3700,,,,
Grand Cat,с форелью и лососем,супер-премиум,"Филе форели 18%, дегидрированное мясо лосося 15%",масло лосося,рис,,36,16,1,7,"1,2",,,,,"0,7","2,1",,40,,,,,
Grand Cat,с курицей для кастрированных,супер-премиум,Дегидрированное мясо курицы 30%,"жир куриный, жир лососевый","рис, пшеница",,30,12,"3,5",7,"1,2","0,9","1,333333333",,,"2,5",6,,"47,5",,,,,
Premier,индейка,супер-премиум,"Свежее бескостное мясо индейки (22%), дегидрированное мясо индейки (22%)","жир индейки (6%), льняное семя, лососевое масло (0,5%)","рис, горох, картофель","глюкозамин, хондроитин",32,16,3,"6,5","1,5","0,9","1,666666667",,"0,09","0,8","2,6",6,"36,5",3872,7,"расширенная, дозировка средняя","грейпфрут, розмарин, куркума",
Premier,"ягненок, индейка",супер-премиум,"Свежее бескостное мясо индейки (22%), дегидрированное мясо индейки (21%)","жир индейки (5%), льняное семя, лососевое масло (0,5%)","рис, горох","глюкозамин, хондроитин",32,16,3,"6,5","1,5",1,"1,5",,"0,08","0,8","2,1",6,"36,5",3872,7,"расширенная, дозировка средняя","грейпфрут, розмарин, куркума",
Premier,филе лосося с индейкой,супер-премиум,"Свежий бескостный лосось (22%), дегидрированное мясо индейки (22%)","жир индейки (5%), льняное семя, лососевое масло (0,5%)","рис, горох","глюкозамин, хондроитин",31,17,3,"6,5","1,7",1,"1,7",,"0,09","1,1","2,6",6,"36,5",3872,7,"расширенная, дозировка средняя","грейпфрут, розмарин, куркума",
Gather,с курицей,,"Филе курицы, дегидрированное мясо курицы","куриный жир, льняное семя","горох, чечевица",,30,16,"4,5","7,2","1,3","0,8","1,625",,"0,09","0,4",2,10,"32,3",3664,,хорошая,розмарин,
